state_abbr,year,bachelors_share
AL,2010,22.0
AK,2010,26.3
AZ,2010,27.1
AR,2010,19.9
CA,2010,30.5
CO,2010,36.6
CT,2010,36.4
DE,2010,28.0
DC,2010,51.4
FL,2010,26.7
GA,2010,27.2
HI,2010,29.4
ID,2010,25.6
IL,2010,30.9
IN,2010,23.0
IA,2010,24.7
KS,2010,29.8
KY,2010,20.1
LA,2010,20.5
ME,2010,25.8
MD,2010,36.5
MA,2010,39.3
MI,2010,25.5
MN,2010,32.0
MS,2010,18.3
MO,2010,25.4
MT,2010,28.3
NE,2010,28.6
NV,2010,22.5
NH,2010,32.5
NJ,2010,36.2
NM,2010,25.2
NY,2010,32.3
NC,2010,26.3
ND,2010,26.0
OH,2010,25.2
OK,2010,23.2
OR,2010,29.2
PA,2010,27.7
RI,2010,30.6
SC,2010,24.4
SD,2010,26.1
TN,2010,23.4
TX,2010,26.5
UT,2010,32.4
VT,2010,32.0
VA,2010,34.7
WA,2010,31.7
WV,2010,17.3
WI,2010,26.0
WY,2010,24.0
AL,2011,22.2
AK,2011,23.9
AZ,2011,27.7
AR,2011,20.4
CA,2011,30.6
CO,2011,37.2
CT,2011,36.6
DE,2011,29.4
DC,2011,53.2
FL,2011,26.7
GA,2011,27.6
HI,2011,28.1
ID,2011,26.7
IL,2011,31.0
IN,2011,23.3
IA,2011,25.3
KS,2011,29.9
KY,2011,20.7
LA,2011,20.3
ME,2011,27.4
MD,2011,36.8
MA,2011,39.8
MI,2011,25.8
MN,2011,32.0
MS,2011,18.8
MO,2011,26.4
MT,2011,28.2
NE,2011,27.6
NV,2011,22.1
NH,2011,32.9
NJ,2011,36.5
NM,2011,25.6
NY,2011,32.6
NC,2011,26.5
ND,2011,24.5
OH,2011,25.3
OK,2011,23.7
OR,2011,29.7
PA,2011,27.3
RI,2011,32.4
SC,2011,24.1
SD,2011,25.1
TN,2011,23.4
TX,2011,26.9
UT,2011,32.5
VT,2011,32.3
VA,2011,35.8
WA,2011,33.0
WV,2011,18.4
WI,2011,25.8
WY,2011,23.8
AL,2012,23.4
AK,2012,24.9
AZ,2012,28.4
AR,2012,20.3
CA,2012,31.2
CO,2012,37.7
DE,2012,29.1
DC,2012,54.5
CT,2012,37.5
FL,2012,27.7
GA,2012,27.9
ID,2012,26.7
HI,2012,28.2
IL,2012,31.4
IN,2012,23.2
IA,2012,25.7
KS,2012,30.0
KY,2012,21.2
LA,2012,21.0
ME,2012,26.5
MD,2012,36.9
MA,2012,39.4
MI,2012,26.1
MN,2012,32.6
MS,2012,19.3
MO,2012,25.9
MT,2012,28.8
NE,2012,28.1
NV,2012,22.8
NH,2012,33.9
NJ,2012,36.8
NM,2012,25.8
NY,2012,32.9
NC,2012,26.8
ND,2012,25.9
OH,2012,25.6
OK,2012,23.4
OR,2012,30.1
PA,2012,28.2
RI,2012,31.8
SC,2012,25.2
SD,2012,25.1
TN,2012,24.2
TX,2012,26.9
VT,2012,33.2
UT,2012,33.2
VA,2012,35.9
WA,2012,32.2
WV,2012,17.8
WI,2012,26.1
WY,2012,24.3
MS,2013,19.1
MO,2013,26.8
MT,2013,27.9
NE,2013,28.8
NV,2013,22.9
NH,2013,34.2
NJ,2013,37.2
NM,2013,25.7
NY,2013,33.5
NC,2013,27.9
ND,2013,25.3
OH,2013,26.3
OK,2013,23.6
OR,2013,31.1
PA,2013,28.9
RI,2013,33.2
SC,2013,26.3
SD,2013,25.8
TN,2013,24.6
TX,2013,27.7
VT,2013,32.3
UT,2013,33.7
VA,2013,36.5
WA,2013,33.1
WV,2013,18.6
WI,2013,26.6
WY,2013,25.9
AL,2013,23.3
AK,2013,25.2
AZ,2013,27.9
AR,2013,20.4
CA,2013,31.3
CO,2013,37.9
DE,2013,29.9
DC,2013,56.6
CT,2013,37.2
FL,2013,27.9
GA,2013,28.1
ID,2013,27.2
HI,2013,30.3
IL,2013,31.8
IN,2013,23.4
IA,2013,25.4
KS,2013,30.8
KY,2013,22.2
LA,2013,21.3
ME,2013,26.7
MD,2013,36.7
MA,2013,40.1
MI,2013,27.1
MN,2013,32.8
