state_abbr,year,lfp_sa,bachelors_share
AL,2010,59.800000000000004,22.0
AL,2011,59.425000000000004,22.2
AL,2012,58.324999999999996,23.4
AL,2013,57.68333333333334,23.3
AL,2014,56.949999999999996,23.1
AL,2015,56.71666666666667,24.2
AL,2016,56.975,24.7
AL,2017,56.9,25.5
AL,2018,57.324999999999996,25.5
AK,2010,69.56666666666666,26.3
AK,2011,68.81666666666666,23.9
AK,2012,68.0,24.9
AK,2013,67.5,25.2
AK,2014,67.43333333333334,25.0
AK,2015,66.73333333333333,29.7
AK,2016,66.2,29.6
AK,2017,65.94166666666666,28.8
AK,2018,65.00833333333334,30.2
AZ,2010,62.84166666666667,27.1
AZ,2011,61.48333333333333,27.7
AZ,2012,60.6,28.4
AZ,2013,59.958333333333336,27.9
AZ,2014,59.89166666666667,28.0
AZ,2015,60.074999999999996,27.7
AZ,2016,60.25,28.9
AZ,2017,60.574999999999996,29.4
AZ,2018,61.21666666666667,29.7
AR,2010,60.63333333333333,19.9
AR,2011,60.23333333333333,20.4
AR,2012,59.6,20.3
AR,2013,58.574999999999996,20.4
AR,2014,58.11666666666667,20.9
AR,2015,58.30833333333334,21.8
AR,2016,58.125,22.4
AR,2017,58.050000000000004,23.4
AR,2018,57.89166666666666,23.3
CA,2010,64.16666666666667,30.5
CA,2011,63.39166666666666,30.6
CA,2012,63.050000000000004,31.2
CA,2013,62.708333333333336,31.3
CA,2014,62.34166666666667,32.0
CA,2015,62.166666666666664,32.3
CA,2016,62.225,32.9
CA,2017,62.275,33.6
CA,2018,62.28333333333333,34.2
CO,2010,70.24166666666666,36.6
CO,2011,69.68333333333332,37.2
CO,2012,69.00833333333334,37.7
CO,2013,68.15833333333333,37.9
CO,2014,67.7,37.6
CO,2015,66.825,39.2
CO,2016,67.0,39.9
CO,2017,67.77499999999999,41.2
CO,2018,68.56666666666666,41.7
CT,2010,68.26666666666667,36.4
CT,2011,67.73333333333333,36.6
CT,2012,66.40833333333333,37.5
CT,2013,65.425,37.2
CT,2014,65.91666666666667,37.9
CT,2015,65.89999999999999,38.3
CT,2016,65.88333333333334,38.6
CT,2017,66.10000000000001,38.7
CT,2018,65.95,39.6
DE,2010,62.025,28.0
DE,2011,62.19166666666666,29.4
DE,2012,61.925000000000004,29.1
DE,2013,60.9,29.9
DE,2014,61.36666666666667,29.7
DE,2015,61.9,30.9
DE,2016,62.05833333333334,31.0
DE,2017,62.24166666666667,31.5
DE,2018,62.199999999999996,31.3
FL,2010,61.64166666666667,26.7
FL,2011,61.083333333333336,26.7
FL,2012,60.50833333333333,27.7
FL,2013,60.09166666666667,27.9
FL,2014,59.86666666666667,28.0
FL,2015,59.333333333333336,28.4
